Steps_Before,Hour,Date,DOW,Is_Weekend,Abandon_Ratio,Avg_Sess_Per_Month,Is_AB
7,12,26,2,0.0,0.75,0.8,1.0
9,13,26,2,0.0,0.75,0.8,1.0
18,2,30,6,1.0,0.2,1.0,0.0
11,16,1,5,0.0,1.0,0.8,1.0
15,19,15,5,0.0,1.0,0.8,1.0
17,18,30,6,1.0,1.0,0.8,1.0
9,8,15,5,0.0,0.46,2.6,1.0
10,8,21,4,0.0,0.46,2.6,1.0
5,14,21,4,0.0,0.46,2.6,0.0
15,15,22,5,0.0,0.46,2.6,0.0
2,15,22,5,0.0,0.46,2.6,0.0
5,6,23,6,1.0,0.46,2.6,0.0
44,3,26,2,0.0,0.46,2.6,1.0
5,10,26,2,0.0,0.46,2.6,0.0
4,3,4,1,0.0,0.0,0.4,0.0
5,8,25,1,0.0,0.0,0.4,0.0
7,15,4,1,0.0,0.12,3.2,0.0
3,9,7,4,0.0,0.12,3.2,0.0
2,13,7,4,0.0,1.0,0.2,1.0
7,16,18,1,0.0,0.5,0.4,1.0
7,5,19,2,0.0,0.5,0.4,0.0
61,14,20,3,0.0,1.0,0.4,1.0
14,10,1,5,0.0,0.0,5.2,0.0
9,1,20,3,0.0,0.0,5.2,0.0
14,3,20,3,0.0,0.0,5.2,0.0
9,2,27,3,0.0,0.0,5.2,0.0
5,6,13,3,0.0,1.0,0.2,1.0
7,12,26,2,0.0,0.12,1.6,1.0
53,6,28,4,0.0,0.4,1.0,1.0
7,9,29,5,0.0,0.4,1.0,0.0
66,10,31,0,1.0,0.4,1.0,1.0
14,9,3,0,1.0,0.0,1.8,0.0
4,4,9,6,1.0,0.17,1.2,1.0
3,8,14,4,0.0,0.2,3.0,0.0
3,13,14,4,0.0,0.2,3.0,0.0
6,11,15,5,0.0,0.2,3.0,1.0
19,17,22,5,0.0,0.2,3.0,1.0
3,1,23,6,1.0,0.2,3.0,0.0
3,3,23,6,1.0,0.2,3.0,0.0
13,11,30,6,1.0,0.2,3.0,0.0
17,10,2,6,1.0,0.25,2.4,1.0
7,2,1,5,0.0,0.0,0.2,0.0
14,6,6,3,0.0,1.0,0.4,1.0
9,3,19,2,0.0,1.0,0.4,1.0
10,5,29,5,0.0,0.0,1.2,0.0
5,6,2,6,1.0,0.11,3.8,0.0
27,5,11,1,0.0,0.11,3.8,1.0
4,6,11,1,0.0,0.11,3.8,0.0
9,16,15,5,0.0,0.11,3.8,0.0
5,16,28,4,0.0,0.11,3.8,0.0
4,7,8,5,0.0,0.03,6.2,0.0
6,7,14,4,0.0,0.03,6.2,0.0
5,3,19,2,0.0,0.03,6.2,0.0
5,15,25,1,0.0,0.03,6.2,0.0
5,15,26,2,0.0,0.03,6.2,0.0
7,12,27,3,0.0,0.03,6.2,0.0
42,14,14,4,0.0,0.67,0.6,1.0
6,14,14,4,0.0,0.67,0.6,1.0
9,12,20,3,0.0,1.0,2.0,1.0
5,9,27,3,0.0,1.0,2.0,1.0
5,15,28,4,0.0,1.0,2.0,1.0
5,16,28,4,0.0,1.0,2.0,1.0
